reviewId,reviewText,reviewDate,rating
20250827-00001,Coupon not working,2025-08-27,4
20250827-00002,Rider no show,2025-08-27,4
20250827-00003,Refund pending for a week,2025-08-27,3
20250827-00004,Promo code failed,2025-08-27,4
20250827-00005,Need 24x7 Instamart,2025-08-27,4
20250827-00006,Need 24x7 Instamart,2025-08-27,4
20250827-00007,Need 24x7 Instamart,2025-08-27,2
20250827-00008,Please keep Instamart open all night,2025-08-27,3
20250827-00009,Promo code failed,2025-08-27,2
20250827-00010,Money not refunded yet,2025-08-27,2
20250827-00011,Coupon not working,2025-08-27,3
20250827-00012,Food smelled bad,2025-08-27,2
20250827-00013,Need 24x7 Instamart,2025-08-27,2
20250827-00014,Force closes on checkout,2025-08-27,2
20250827-00015,Rider no show,2025-08-27,1
20250827-00016,Delivery stuck on the map,2025-08-27,3
20250827-00017,Please keep Instamart open all night,2025-08-27,3
20250827-00018,Order was late by 40 mins,2025-08-27,2
20250827-00019,Please keep Instamart open all night,2025-08-27,2
20250827-00020,Refund taking too long,2025-08-27,2
20250827-00021,Money not refunded yet,2025-08-27,2
20250827-00022,Money not refunded yet,2025-08-27,2
20250827-00023,Rider no show,2025-08-27,3
20250827-00024,GPS kept jumping,2025-08-27,3
20250827-00025,Food smelled bad,2025-08-27,2
20250827-00026,Night delivery please,2025-08-27,2
20250827-00027,Offer didn't work,2025-08-27,3
20250827-00028,Coupon not working,2025-08-27,5
20250827-00029,App keeps crashing,2025-08-27,2
20250827-00030,Reached very late,2025-08-27,3
20250827-00031,GPS kept jumping,2025-08-27,3
20250827-00032,Coupon not working,2025-08-27,3
20250827-00033,App keeps crashing,2025-08-27,3
20250827-00034,Reached very late,2025-08-27,5
20250827-00035,Order was late by 40 mins,2025-08-27,2
20250827-00036,GPS kept jumping,2025-08-27,4
20250827-00037,Map not updating,2025-08-27,2
20250827-00038,Map pin wrong,2025-08-27,3
20250827-00039,Refund pending for a week,2025-08-27,3
20250827-00040,Driver took wrong route,2025-08-27,4
20250827-00041,Misbehaved at the door,2025-08-27,4
20250827-00042,Reached very late,2025-08-27,4
20250827-00043,Burger arrived cold and soggy,2025-08-27,5
20250827-00044,Offer didn't work,2025-08-27,2
20250827-00045,Night delivery please,2025-08-27,3
20250827-00046,App keeps crashing,2025-08-27,2
20250827-00047,Rider no show,2025-08-27,4
20250827-00048,Night delivery please,2025-08-27,3
20250827-00049,Rider no show,2025-08-27,4
20250827-00050,Where is 10 min delivery?,2025-08-27,1
20250827-00051,Promo code failed,2025-08-27,2
20250827-00052,Delivery stuck on the map,2025-08-27,4
20250827-00053,Force closes on checkout,2025-08-27,2
20250827-00054,Refund taking too long,2025-08-27,2
20250827-00055,Burger arrived cold and soggy,2025-08-27,3
20250827-00056,Order was late by 40 mins,2025-08-27,3
20250827-00057,Discount not applied,2025-08-27,4
20250827-00058,Force closes on checkout,2025-08-27,3
20250827-00059,Offer didn't work,2025-08-27,1
20250827-00060,Offer didn't work,2025-08-27,3
20250827-00061,Rotten salad,2025-08-27,4
20250827-00062,Map pin wrong,2025-08-27,4
20250827-00063,Where is 10 min delivery?,2025-08-27,3
20250827-00064,Order was late by 40 mins,2025-08-27,2
20250827-00065,Driver took wrong route,2025-08-27,2
20250827-00066,Reached very late,2025-08-27,2
20250827-00067,Rider no show,2025-08-27,3
20250827-00068,App hangs on payment,2025-08-27,3
20250827-00069,Offer didn't work,2025-08-27,3
20250827-00070,Rider no show,2025-08-27,3
20250827-00071,App hangs on payment,2025-08-27,1
20250827-00072,Location inaccurate,2025-08-27,3
20250827-00073,Rider no show,2025-08-27,2
20250827-00074,Money not refunded yet,2025-08-27,3
20250827-00075,Bring back 10 minute delivery,2025-08-27,3
20250827-00076,Night delivery please,2025-08-27,3
20250827-00077,Location inaccurate,2025-08-27,5
20250827-00078,Delivery stuck on the map,2025-08-27,4
20250827-00079,Very impolite on call,2025-08-27,2
20250827-00080,Force closes on checkout,2025-08-27,2
20250827-00081,App keeps crashing,2025-08-27,2
20250827-00082,Please keep Instamart open all night,2025-08-27,5
20250827-00083,Offer didn't work,2025-08-27,1
20250827-00084,Money not refunded yet,2025-08-27,3
20250827-00085,Promo code failed,2025-08-27,3
20250827-00086,Money not refunded yet,2025-08-27,4
20250827-00087,Refund taking too long,2025-08-27,3
20250827-00088,Food smelled bad,2025-08-27,3
20250827-00089,Refund taking too long,2025-08-27,3
20250827-00090,Discount not applied,2025-08-27,3
20250827-00091,Offer didn't work,2025-08-27,4
20250827-00092,Money not refunded yet,2025-08-27,5
20250827-00093,GPS kept jumping,2025-08-27,4
20250827-00094,Delivery stuck on the map,2025-08-27,3
20250827-00095,Need 24x7 Instamart,2025-08-27,1
20250827-00096,Food smelled bad,2025-08-27,2
20250827-00097,Food smelled bad,2025-08-27,4
20250827-00098,Money not refunded yet,2025-08-27,3
20250827-00099,Money not refunded yet,2025-08-27,3
20250827-00100,Instant bolt delivery was great,2025-08-27,3
20250827-00101,GPS kept jumping,2025-08-27,3
20250827-00102,Abusive behaviour,2025-08-27,2
20250827-00103,Abusive behaviour,2025-08-27,1
20250827-00104,Food smelled bad,2025-08-27,3
20250827-00105,Misbehaved at the door,2025-08-27,4
20250827-00106,Discount not applied,2025-08-27,4
20250827-00107,Reached very late,2025-08-27,2
20250827-00108,Force closes on checkout,2025-08-27,4
20250827-00109,Very impolite on call,2025-08-27,4
20250827-00110,Coupon not working,2025-08-27,4
20250827-00111,Instant bolt delivery was great,2025-08-27,2
20250827-00112,Driver took wrong route,2025-08-27,3
20250827-00113,Misbehaved at the door,2025-08-27,3
20250827-00114,App hangs on payment,2025-08-27,3
20250827-00115,Force closes on checkout,2025-08-27,2
20250827-00116,Stale paratha,2025-08-27,1
20250827-00117,Night delivery please,2025-08-27,2
20250827-00118,Offer didn't work,2025-08-27,2
20250827-00119,Where is 10 min delivery?,2025-08-27,1
20250827-00120,Need 24x7 Instamart,2025-08-27,2
20250827-00121,Driver took wrong route,2025-08-27,5
20250827-00122,GPS kept jumping,2025-08-27,3
20250827-00123,Order was late by 40 mins,2025-08-27,3
20250827-00124,Reached very late,2025-08-27,3
20250827-00125,Reached very late,2025-08-27,4
20250827-00126,Refund taking too long,2025-08-27,3
20250827-00127,Bring back 10 minute delivery,2025-08-27,3
20250827-00128,Rotten salad,2025-08-27,5
20250827-00129,Stale paratha,2025-08-27,4
20250827-00130,Map not updating,2025-08-27,2
20250827-00131,Coupon not working,2025-08-27,3
20250827-00132,Refund taking too long,2025-08-27,3
20250827-00133,Instant bolt delivery was great,2025-08-27,3
20250827-00134,Delivery stuck on the map,2025-08-27,4
20250827-00135,Cold pizza,2025-08-27,1
20250827-00136,Rider no show,2025-08-27,1
20250827-00137,Rotten salad,2025-08-27,3
20250827-00138,Offer didn't work,2025-08-27,2
20250827-00139,Instant bolt delivery was great,2025-08-27,2
20250827-00140,Force closes on checkout,2025-08-27,3
20250827-00141,Please keep Instamart open all night,2025-08-27,4
20250827-00142,Refund taking too long,2025-08-27,3
20250827-00143,Abusive behaviour,2025-08-27,3
20250827-00144,Refund pending for a week,2025-08-27,4
20250827-00145,Very impolite on call,2025-08-27,3
20250827-00146,Reached very late,2025-08-27,1
20250827-00147,Reached very late,2025-08-27,4
20250827-00148,Money not refunded yet,2025-08-27,2
20250827-00149,Stale paratha,2025-08-27,2
20250827-00150,GPS kept jumping,2025-08-27,2
20250827-00151,Rider no show,2025-08-27,1
20250827-00152,Instant bolt delivery was great,2025-08-27,4
20250827-00153,Rider was rude,2025-08-27,4
20250827-00154,Rider was rude,2025-08-27,3
20250827-00155,Delivery stuck on the map,2025-08-27,4
20250827-00156,Money not refunded yet,2025-08-27,1
20250827-00157,Instant bolt delivery was great,2025-08-27,1
20250827-00158,Driver took wrong route,2025-08-27,2
20250827-00159,Driver took wrong route,2025-08-27,1
20250827-00160,Force closes on checkout,2025-08-27,2
20250827-00161,Money not refunded yet,2025-08-27,1
20250827-00162,Rider no show,2025-08-27,4
20250827-00163,Offer didn't work,2025-08-27,3
20250827-00164,Reached very late,2025-08-27,3
20250827-00165,Food smelled bad,2025-08-27,4
20250827-00166,Abusive behaviour,2025-08-27,3
20250827-00167,Driver took wrong route,2025-08-27,2
20250827-00168,Bring back 10 minute delivery,2025-08-27,2
20250827-00169,Delivery stuck on the map,2025-08-27,3
20250827-00170,Money not refunded yet,2025-08-27,3
20250827-00171,App keeps crashing,2025-08-27,4
20250827-00172,Driver took wrong route,2025-08-27,2
20250827-00173,Bring back 10 minute delivery,2025-08-27,3
20250827-00174,Promo code failed,2025-08-27,2
20250827-00175,Refund taking too long,2025-08-27,4
20250827-00176,Food smelled bad,2025-08-27,3
20250827-00177,App hangs on payment,2025-08-27,3
20250827-00178,Night delivery please,2025-08-27,2
20250827-00179,Delivery stuck on the map,2025-08-27,4
20250827-00180,Food smelled bad,2025-08-27,5
20250827-00181,Location inaccurate,2025-08-27,1
20250827-00182,Rider no show,2025-08-27,4
20250827-00183,Refund pending for a week,2025-08-27,4
20250827-00184,Refund pending for a week,2025-08-27,3
20250827-00185,Refund pending for a week,2025-08-27,3
20250827-00186,Misbehaved at the door,2025-08-27,4
20250827-00187,Stale paratha,2025-08-27,3
20250827-00188,App hangs on payment,2025-08-27,3
20250827-00189,Rider no show,2025-08-27,2
20250827-00190,Offer didn't work,2025-08-27,3
