reviewId,reviewText,reviewDate,rating
20250821-00001,App keeps crashing,2025-08-21,2
20250821-00002,Cold pizza,2025-08-21,3
20250821-00003,Very impolite on call,2025-08-21,3
20250821-00004,Promo code failed,2025-08-21,3
20250821-00005,Money not refunded yet,2025-08-21,4
20250821-00006,Refund pending for a week,2025-08-21,1
20250821-00007,Stale paratha,2025-08-21,2
20250821-00008,Refund taking too long,2025-08-21,2
20250821-00009,Bring back 10 minute delivery,2025-08-21,4
20250821-00010,Delivery stuck on the map,2025-08-21,3
20250821-00011,Offer didn't work,2025-08-21,2
20250821-00012,Bring back 10 minute delivery,2025-08-21,3
20250821-00013,Order was late by 40 mins,2025-08-21,3
20250821-00014,Offer didn't work,2025-08-21,2
20250821-00015,Burger arrived cold and soggy,2025-08-21,3
20250821-00016,Map not updating,2025-08-21,5
20250821-00017,Reached very late,2025-08-21,2
20250821-00018,Force closes on checkout,2025-08-21,4
20250821-00019,Rider no show,2025-08-21,3
20250821-00020,Order was late by 40 mins,2025-08-21,3
20250821-00021,Force closes on checkout,2025-08-21,3
20250821-00022,Location inaccurate,2025-08-21,3
20250821-00023,Coupon not working,2025-08-21,3
20250821-00024,Bring back 10 minute delivery,2025-08-21,3
20250821-00025,Instant bolt delivery was great,2025-08-21,2
20250821-00026,Instant bolt delivery was great,2025-08-21,2
20250821-00027,Coupon not working,2025-08-21,3
20250821-00028,Refund taking too long,2025-08-21,3
20250821-00029,Misbehaved at the door,2025-08-21,2
20250821-00030,Driver took wrong route,2025-08-21,1
20250821-00031,Order was late by 40 mins,2025-08-21,2
20250821-00032,Reached very late,2025-08-21,2
20250821-00033,Rotten salad,2025-08-21,4
20250821-00034,Food smelled bad,2025-08-21,2
20250821-00035,Rider was rude,2025-08-21,3
20250821-00036,Bring back 10 minute delivery,2025-08-21,1
20250821-00037,Food smelled bad,2025-08-21,2
20250821-00038,Reached very late,2025-08-21,3
20250821-00039,Reached very late,2025-08-21,3
