reviewId,reviewText,reviewDate,rating
20250807-00001,Refund pending for a week,2025-08-07,2
20250807-00002,Please keep Instamart open all night,2025-08-07,4
20250807-00003,Misbehaved at the door,2025-08-07,2
20250807-00004,Refund pending for a week,2025-08-07,3
20250807-00005,Very impolite on call,2025-08-07,3
20250807-00006,Where is 10 min delivery?,2025-08-07,3
20250807-00007,Rider no show,2025-08-07,2
20250807-00008,Money not refunded yet,2025-08-07,3
20250807-00009,Order was late by 40 mins,2025-08-07,1
20250807-00010,Rider was rude,2025-08-07,3
20250807-00011,Coupon not working,2025-08-07,2
20250807-00012,Location inaccurate,2025-08-07,4
20250807-00013,Stale paratha,2025-08-07,1
20250807-00014,Delivery stuck on the map,2025-08-07,3
20250807-00015,Please keep Instamart open all night,2025-08-07,3
20250807-00016,Bring back 10 minute delivery,2025-08-07,1
20250807-00017,App hangs on payment,2025-08-07,3
20250807-00018,Order was late by 40 mins,2025-08-07,4
20250807-00019,Rotten salad,2025-08-07,2
20250807-00020,App keeps crashing,2025-08-07,4
20250807-00021,Reached very late,2025-08-07,3
20250807-00022,Coupon not working,2025-08-07,3
20250807-00023,Refund pending for a week,2025-08-07,1
20250807-00024,Misbehaved at the door,2025-08-07,1
20250807-00025,Location inaccurate,2025-08-07,3
20250807-00026,GPS kept jumping,2025-08-07,2
20250807-00027,Promo code failed,2025-08-07,2
20250807-00028,Driver took wrong route,2025-08-07,2
20250807-00029,Reached very late,2025-08-07,3
20250807-00030,Abusive behaviour,2025-08-07,2
20250807-00031,App hangs on payment,2025-08-07,3
20250807-00032,Location inaccurate,2025-08-07,4
20250807-00033,Force closes on checkout,2025-08-07,4
20250807-00034,Instant bolt delivery was great,2025-08-07,2
20250807-00035,Delivery stuck on the map,2025-08-07,3
20250807-00036,Instant bolt delivery was great,2025-08-07,3
20250807-00037,Stale paratha,2025-08-07,3
20250807-00038,Instant bolt delivery was great,2025-08-07,4
20250807-00039,Map pin wrong,2025-08-07,3
20250807-00040,Map pin wrong,2025-08-07,5
20250807-00041,Reached very late,2025-08-07,3
20250807-00042,Rotten salad,2025-08-07,2
20250807-00043,Refund taking too long,2025-08-07,1
20250807-00044,Delivery stuck on the map,2025-08-07,3
20250807-00045,Promo code failed,2025-08-07,4
20250807-00046,Delivery stuck on the map,2025-08-07,4
20250807-00047,Delivery stuck on the map,2025-08-07,3
20250807-00048,Night delivery please,2025-08-07,3
20250807-00049,Cold pizza,2025-08-07,3
20250807-00050,Rotten salad,2025-08-07,2
20250807-00051,Rotten salad,2025-08-07,5
20250807-00052,Rider no show,2025-08-07,3
20250807-00053,Rider was rude,2025-08-07,3
20250807-00054,Money not refunded yet,2025-08-07,2
20250807-00055,GPS kept jumping,2025-08-07,3
20250807-00056,Very impolite on call,2025-08-07,3
20250807-00057,App keeps crashing,2025-08-07,2
20250807-00058,Refund taking too long,2025-08-07,2
20250807-00059,Offer didn't work,2025-08-07,2
20250807-00060,Stale paratha,2025-08-07,3
20250807-00061,Refund pending for a week,2025-08-07,5
20250807-00062,Force closes on checkout,2025-08-07,3
20250807-00063,Driver took wrong route,2025-08-07,3
20250807-00064,App keeps crashing,2025-08-07,3
20250807-00065,Need 24x7 Instamart,2025-08-07,1
20250807-00066,Order was late by 40 mins,2025-08-07,4
20250807-00067,Stale paratha,2025-08-07,3
20250807-00068,Driver took wrong route,2025-08-07,2
20250807-00069,Refund pending for a week,2025-08-07,2
20250807-00070,Stale paratha,2025-08-07,1
20250807-00071,Order was late by 40 mins,2025-08-07,2
