reviewId,reviewText,reviewDate,rating
20250816-00001,Misbehaved at the door,2025-08-16,2
20250816-00002,Rider was rude,2025-08-16,4
20250816-00003,Refund taking too long,2025-08-16,3
20250816-00004,Driver took wrong route,2025-08-16,2
20250816-00005,Please keep Instamart open all night,2025-08-16,4
20250816-00006,App hangs on payment,2025-08-16,2
20250816-00007,Refund pending for a week,2025-08-16,3
20250816-00008,App hangs on payment,2025-08-16,3
20250816-00009,Rider was rude,2025-08-16,3
20250816-00010,Please keep Instamart open all night,2025-08-16,3
20250816-00011,Misbehaved at the door,2025-08-16,3
20250816-00012,Stale paratha,2025-08-16,2
20250816-00013,Burger arrived cold and soggy,2025-08-16,3
20250816-00014,Night delivery please,2025-08-16,5
20250816-00015,Need 24x7 Instamart,2025-08-16,3
20250816-00016,Instant bolt delivery was great,2025-08-16,4
20250816-00017,GPS kept jumping,2025-08-16,5
20250816-00018,Delivery stuck on the map,2025-08-16,2
20250816-00019,Cold pizza,2025-08-16,3
20250816-00020,Refund pending for a week,2025-08-16,2
20250816-00021,Rider no show,2025-08-16,3
20250816-00022,Please keep Instamart open all night,2025-08-16,4
20250816-00023,Discount not applied,2025-08-16,2
20250816-00024,Cold pizza,2025-08-16,3
20250816-00025,Money not refunded yet,2025-08-16,3
20250816-00026,Food smelled bad,2025-08-16,3
20250816-00027,Cold pizza,2025-08-16,4
20250816-00028,Offer didn't work,2025-08-16,4
20250816-00029,Refund pending for a week,2025-08-16,1
20250816-00030,Promo code failed,2025-08-16,4
20250816-00031,Coupon not working,2025-08-16,3
20250816-00032,Stale paratha,2025-08-16,2
20250816-00033,Please keep Instamart open all night,2025-08-16,4
20250816-00034,Location inaccurate,2025-08-16,1
20250816-00035,Driver took wrong route,2025-08-16,3
20250816-00036,Order was late by 40 mins,2025-08-16,2
20250816-00037,Driver took wrong route,2025-08-16,4
20250816-00038,App hangs on payment,2025-08-16,3
20250816-00039,Money not refunded yet,2025-08-16,3
20250816-00040,Burger arrived cold and soggy,2025-08-16,4
20250816-00041,Order was late by 40 mins,2025-08-16,4
20250816-00042,Night delivery please,2025-08-16,2
20250816-00043,Food smelled bad,2025-08-16,4
20250816-00044,Driver took wrong route,2025-08-16,3
