reviewId,reviewText,reviewDate,rating
20250831-00001,Offer didn't work,2025-08-31,5
20250831-00002,Night delivery please,2025-08-31,1
20250831-00003,Driver took wrong route,2025-08-31,3
20250831-00004,Bring back 10 minute delivery,2025-08-31,4
20250831-00005,Rotten salad,2025-08-31,2
20250831-00006,Coupon not working,2025-08-31,4
20250831-00007,Promo code failed,2025-08-31,4
20250831-00008,Driver took wrong route,2025-08-31,1
20250831-00009,App keeps crashing,2025-08-31,2
20250831-00010,Delivery stuck on the map,2025-08-31,1
20250831-00011,GPS kept jumping,2025-08-31,3
20250831-00012,Stale paratha,2025-08-31,3
20250831-00013,App keeps crashing,2025-08-31,4
20250831-00014,Abusive behaviour,2025-08-31,3
20250831-00015,Where is 10 min delivery?,2025-08-31,3
20250831-00016,App hangs on payment,2025-08-31,2
20250831-00017,Map not updating,2025-08-31,4
20250831-00018,GPS kept jumping,2025-08-31,3
20250831-00019,Discount not applied,2025-08-31,3
20250831-00020,Food smelled bad,2025-08-31,3
20250831-00021,Reached very late,2025-08-31,3
20250831-00022,Where is 10 min delivery?,2025-08-31,3
20250831-00023,Delivery stuck on the map,2025-08-31,3
20250831-00024,Cold pizza,2025-08-31,2
20250831-00025,Reached very late,2025-08-31,3
20250831-00026,Discount not applied,2025-08-31,2
20250831-00027,Promo code failed,2025-08-31,4
20250831-00028,Delivery stuck on the map,2025-08-31,2
20250831-00029,Night delivery please,2025-08-31,3
20250831-00030,Map not updating,2025-08-31,3
20250831-00031,App keeps crashing,2025-08-31,2
20250831-00032,Abusive behaviour,2025-08-31,3
20250831-00033,Refund taking too long,2025-08-31,2
20250831-00034,Refund pending for a week,2025-08-31,4
20250831-00035,Instant bolt delivery was great,2025-08-31,4
20250831-00036,Delivery stuck on the map,2025-08-31,2
20250831-00037,Bring back 10 minute delivery,2025-08-31,3
20250831-00038,App keeps crashing,2025-08-31,3
20250831-00039,Rider no show,2025-08-31,3
20250831-00040,Very impolite on call,2025-08-31,1
20250831-00041,Where is 10 min delivery?,2025-08-31,2
20250831-00042,Instant bolt delivery was great,2025-08-31,2
20250831-00043,Promo code failed,2025-08-31,2
20250831-00044,Discount not applied,2025-08-31,3
20250831-00045,Cold pizza,2025-08-31,2
20250831-00046,Food smelled bad,2025-08-31,2
20250831-00047,Instant bolt delivery was great,2025-08-31,3
20250831-00048,Delivery stuck on the map,2025-08-31,2
20250831-00049,Coupon not working,2025-08-31,1
20250831-00050,Delivery stuck on the map,2025-08-31,3
