reviewId,reviewText,reviewDate,rating
20250826-00001,Rider no show,2025-08-26,1
20250826-00002,Money not refunded yet,2025-08-26,2
20250826-00003,Refund pending for a week,2025-08-26,2
20250826-00004,Instant bolt delivery was great,2025-08-26,3
20250826-00005,Rider no show,2025-08-26,4
20250826-00006,Refund pending for a week,2025-08-26,2
20250826-00007,Offer didn't work,2025-08-26,1
20250826-00008,Coupon not working,2025-08-26,5
20250826-00009,Refund taking too long,2025-08-26,1
20250826-00010,Delivery stuck on the map,2025-08-26,2
20250826-00011,Discount not applied,2025-08-26,4
20250826-00012,Driver took wrong route,2025-08-26,4
20250826-00013,Order was late by 40 mins,2025-08-26,2
20250826-00014,Misbehaved at the door,2025-08-26,5
20250826-00015,Night delivery please,2025-08-26,2
20250826-00016,Food smelled bad,2025-08-26,3
20250826-00017,Delivery stuck on the map,2025-08-26,2
20250826-00018,Reached very late,2025-08-26,3
20250826-00019,GPS kept jumping,2025-08-26,4
20250826-00020,Rider was rude,2025-08-26,5
20250826-00021,Night delivery please,2025-08-26,5
20250826-00022,Force closes on checkout,2025-08-26,4
20250826-00023,GPS kept jumping,2025-08-26,1
20250826-00024,GPS kept jumping,2025-08-26,3
20250826-00025,Map pin wrong,2025-08-26,2
20250826-00026,Refund taking too long,2025-08-26,3
20250826-00027,Need 24x7 Instamart,2025-08-26,1
20250826-00028,Night delivery please,2025-08-26,4
20250826-00029,Offer didn't work,2025-08-26,2
20250826-00030,Delivery stuck on the map,2025-08-26,5
20250826-00031,Very impolite on call,2025-08-26,2
20250826-00032,Rider no show,2025-08-26,1
20250826-00033,Reached very late,2025-08-26,2
20250826-00034,Order was late by 40 mins,2025-08-26,3
20250826-00035,App keeps crashing,2025-08-26,3
20250826-00036,Promo code failed,2025-08-26,5
20250826-00037,GPS kept jumping,2025-08-26,5
20250826-00038,Rider no show,2025-08-26,3
20250826-00039,Offer didn't work,2025-08-26,2
20250826-00040,GPS kept jumping,2025-08-26,4
20250826-00041,Refund taking too long,2025-08-26,2
20250826-00042,Refund taking too long,2025-08-26,2
20250826-00043,Reached very late,2025-08-26,4
20250826-00044,GPS kept jumping,2025-08-26,3
20250826-00045,Force closes on checkout,2025-08-26,3
20250826-00046,Driver took wrong route,2025-08-26,3
20250826-00047,App hangs on payment,2025-08-26,3
20250826-00048,Coupon not working,2025-08-26,3
20250826-00049,Money not refunded yet,2025-08-26,2
20250826-00050,Order was late by 40 mins,2025-08-26,3
20250826-00051,Food smelled bad,2025-08-26,2
20250826-00052,Reached very late,2025-08-26,2
20250826-00053,Money not refunded yet,2025-08-26,2
20250826-00054,Very impolite on call,2025-08-26,3
20250826-00055,Promo code failed,2025-08-26,1
20250826-00056,Cold pizza,2025-08-26,1
20250826-00057,Rider no show,2025-08-26,3
20250826-00058,Stale paratha,2025-08-26,4
20250826-00059,Refund pending for a week,2025-08-26,4
20250826-00060,Very impolite on call,2025-08-26,1
20250826-00061,Delivery stuck on the map,2025-08-26,3
20250826-00062,Discount not applied,2025-08-26,2
20250826-00063,GPS kept jumping,2025-08-26,3
20250826-00064,Order was late by 40 mins,2025-08-26,4
20250826-00065,Refund pending for a week,2025-08-26,3
20250826-00066,Please keep Instamart open all night,2025-08-26,2
20250826-00067,Bring back 10 minute delivery,2025-08-26,3
20250826-00068,App hangs on payment,2025-08-26,2
20250826-00069,Instant bolt delivery was great,2025-08-26,4
20250826-00070,App hangs on payment,2025-08-26,3
20250826-00071,Delivery stuck on the map,2025-08-26,2
20250826-00072,Location inaccurate,2025-08-26,1
20250826-00073,Night delivery please,2025-08-26,4
20250826-00074,Food smelled bad,2025-08-26,3
20250826-00075,Reached very late,2025-08-26,3
20250826-00076,Very impolite on call,2025-08-26,4
20250826-00077,Map pin wrong,2025-08-26,3
20250826-00078,Reached very late,2025-08-26,5
20250826-00079,Refund pending for a week,2025-08-26,3
20250826-00080,Money not refunded yet,2025-08-26,1
20250826-00081,Please keep Instamart open all night,2025-08-26,2
20250826-00082,Need 24x7 Instamart,2025-08-26,4
20250826-00083,Map pin wrong,2025-08-26,2
20250826-00084,App keeps crashing,2025-08-26,2
20250826-00085,Force closes on checkout,2025-08-26,3
20250826-00086,Rotten salad,2025-08-26,2
20250826-00087,Need 24x7 Instamart,2025-08-26,4
20250826-00088,Burger arrived cold and soggy,2025-08-26,4
20250826-00089,Where is 10 min delivery?,2025-08-26,2
20250826-00090,Coupon not working,2025-08-26,4
20250826-00091,App keeps crashing,2025-08-26,3
20250826-00092,Discount not applied,2025-08-26,5
20250826-00093,Rider no show,2025-08-26,3
20250826-00094,Offer didn't work,2025-08-26,4
20250826-00095,GPS kept jumping,2025-08-26,2
